book,chapter,verse,letter,added
1 KINGS,3,7,l,NO
1 KINGS,3,9,q,NO
1 KINGS,4,13,o,NO
1 KINGS,4,25,z,NO
1 KINGS,6,5,e,NO
1 KINGS,7,15,j,NO
1 KINGS,7,48,d,NO
1 KINGS,8,1,l,NO
1 KINGS,8,6,t,NO
1 KINGS,8,16,h,NO
1 KINGS,8,65,i,NO
1 KINGS,9,1,l,NO
1 KINGS,9,7,v,NO
1 KINGS,9,15,d,NO
1 KINGS,9,15,e,NO
1 KINGS,9,19,k,NO
1 KINGS,9,21,n,NO
1 KINGS,9,21,o,NO
1 KINGS,9,24,t,NO
1 KINGS,9,24,u,NO
1 KINGS,10,1,b,NO
1 KINGS,10,9,h,NO
1 KINGS,10,26,s,NO
1 KINGS,11,26,s,NO
1 KINGS,11,36,y,NO
1 KINGS,13,32,d,NO
1 KINGS,14,9,p,NO
1 KINGS,14,10,s,NO
1 KINGS,14,15,a,NO
1 KINGS,14,15,z,NO
1 KINGS,14,21,h,NO
1 KINGS,14,23,m,NO
1 KINGS,14,23,n,NO
1 KINGS,15,17,q,NO
1 KINGS,15,18,t,NO
1 KINGS,15,20,x,NO
1 KINGS,15,20,y,NO
1 KINGS,16,3,t,NO
1 KINGS,16,31,n,NO
1 KINGS,17,1,u,NO
1 KINGS,17,1,v,NO
1 KINGS,18,19,p,NO
1 KINGS,18,19,q,NO
1 KINGS,18,36,e,NO
1 KINGS,18,46,p,NO
1 KINGS,19,10,a,NO
1 KINGS,19,10,z,NO
1 KINGS,19,11,d,NO
1 KINGS,19,17,k,NO
1 KINGS,20,1,s,NO
1 KINGS,20,28,f,NO
1 KINGS,21,22,h,NO
1 KINGS,21,27,q,NO
1 KINGS,22,48,d,NO
1 PETER,1,2,d,NO
1 PETER,1,2,e,NO
1 PETER,1,2,f,NO
1 PETER,1,3,i,NO
1 PETER,1,3,j,NO
1 PETER,1,4,m,NO
1 PETER,1,7,s,NO
1 PETER,1,7,t,NO
1 PETER,1,11,a,NO
1 PETER,1,11,b,NO
1 PETER,1,12,e,NO
1 PETER,1,12,f,NO
1 PETER,1,17,q,NO
1 PETER,1,19,v,NO
1 PETER,1,21,a,NO
1 PETER,1,23,f,NO
1 PETER,2,5,q,NO
1 PETER,2,5,r,NO
1 PETER,2,5,s,NO
1 PETER,2,9,b,NO
1 PETER,2,9,c,NO
1 PETER,2,9,d,NO
1 PETER,2,9,e,NO
1 PETER,2,9,f,NO
1 PETER,2,11,j,NO
1 PETER,2,12,m,NO
1 PETER,2,17,v,NO
1 PETER,2,21,a,NO
1 PETER,2,24,g,NO
1 PETER,2,24,h,NO
1 PETER,3,1,m,NO
1 PETER,3,8,w,NO
1 PETER,3,8,x,NO
1 PETER,3,9,a,NO
1 PETER,3,14,f,NO
1 PETER,3,15,i,NO
1 PETER,3,18,o,NO
1 PETER,3,18,p,NO
1 PETER,3,18,q,NO
1 PETER,3,20,t,NO
1 PETER,3,21,w,NO
1 PETER,4,1,b,NO
1 PETER,4,2,f,NO
1 PETER,4,2,g,NO
1 PETER,4,7,p,NO
1 PETER,4,11,w,NO
1 PETER,4,11,x,NO
1 PETER,4,11,y,NO
1 PETER,4,16,d,NO
1 PETER,5,2,q,NO
1 PETER,5,4,v,NO
1 PETER,5,8,c,NO
1 PETER,5,8,d,NO
1 PETER,5,8,e,NO
1 PETER,5,9,h,NO
1 PETER,5,10,k,NO
1 PETER,5,10,l,NO
1 PETER,5,10,m,NO
1 PETER,5,12,q,NO
1 PETER,5,12,r,NO
1 SAMUEL,1,1,c,NO
1 SAMUEL,1,11,m,NO
1 SAMUEL,1,11,n,NO
1 SAMUEL,2,1,h,NO
1 SAMUEL,2,8,s,NO
1 SAMUEL,2,10,w,NO
1 SAMUEL,2,10,x,NO
1 SAMUEL,2,28,s,NO
1 SAMUEL,2,35,e,NO
1 SAMUEL,3,13,n,NO
1 SAMUEL,4,21,p,NO
1 SAMUEL,6,5,g,NO
1 SAMUEL,6,5,h,NO
1 SAMUEL,6,6,k,NO
1 SAMUEL,7,3,d,NO
1 SAMUEL,7,3,e,NO
1 SAMUEL,7,3,f,NO
1 SAMUEL,7,6,i,NO
1 SAMUEL,10,1,e,NO
1 SAMUEL,10,2,h,NO
1 SAMUEL,10,3,k,NO
1 SAMUEL,10,5,n,NO
1 SAMUEL,10,8,u,NO
1 SAMUEL,11,1,q,NO
1 SAMUEL,11,7,y,NO
1 SAMUEL,11,13,j,NO
1 SAMUEL,11,15,m,NO
1 SAMUEL,12,8,x,NO
1 SAMUEL,12,8,y,NO
1 SAMUEL,12,9,b,NO
1 SAMUEL,12,10,f,NO
1 SAMUEL,12,11,i,NO
1 SAMUEL,12,11,j,NO
1 SAMUEL,12,12,m,NO
1 SAMUEL,12,15,s,NO
1 SAMUEL,12,17,w,NO
1 SAMUEL,12,22,d,NO
1 SAMUEL,13,3,o,NO
1 SAMUEL,13,23,h,NO
1 SAMUEL,14,3,l,NO
1 SAMUEL,14,3,m,NO
1 SAMUEL,14,31,d,NO
1 SAMUEL,15,7,k,NO
1 SAMUEL,15,23,a,NO
1 SAMUEL,15,35,q,NO
1 SAMUEL,16,1,t,NO
1 SAMUEL,16,1,u,NO
1 SAMUEL,16,13,k,NO
1 SAMUEL,17,1,x,NO
1 SAMUEL,17,1,y,NO
1 SAMUEL,17,12,j,NO
1 SAMUEL,17,12,k,NO
1 SAMUEL,17,26,u,NO
1 SAMUEL,17,46,o,NO
1 SAMUEL,17,52,v,NO
1 SAMUEL,17,55,a,NO
1 SAMUEL,18,10,m,NO
1 SAMUEL,18,10,n,NO
1 SAMUEL,18,12,r,NO
1 SAMUEL,18,17,x,NO
1 SAMUEL,18,17,y,NO
1 SAMUEL,18,21,f,NO
1 SAMUEL,18,25,j,NO
1 SAMUEL,19,5,v,NO
1 SAMUEL,19,5,w,NO
1 SAMUEL,20,3,p,NO
1 SAMUEL,20,6,u,NO
1 SAMUEL,20,18,f,NO
1 SAMUEL,20,42,u,NO
1 SAMUEL,21,1,x,NO
1 SAMUEL,22,8,q,NO
1 SAMUEL,22,9,t,NO
1 SAMUEL,23,24,r,NO
1 SAMUEL,25,1,w,NO
1 SAMUEL,25,1,x,NO
1 SAMUEL,25,1,y,NO
1 SAMUEL,25,2,b,NO
1 SAMUEL,25,26,a,NO
1 SAMUEL,25,26,z,NO
1 SAMUEL,25,36,k,NO
1 SAMUEL,25,39,n,NO
1 SAMUEL,25,39,o,NO
1 SAMUEL,25,39,p,NO
1 SAMUEL,26,10,f,NO
1 SAMUEL,26,10,g,NO
1 SAMUEL,27,8,c,NO
1 SAMUEL,27,8,e,NO
1 SAMUEL,27,10,h,NO
1 SAMUEL,28,3,l,NO
1 SAMUEL,28,6,q,NO
1 SAMUEL,29,1,f,NO
1 SAMUEL,29,1,g,NO
1 SAMUEL,29,4,m,NO
1 SAMUEL,30,1,w,NO
1 SAMUEL,30,8,c,NO
1 SAMUEL,31,4,b,NO
1 SAMUEL,31,4,c,NO
1 SAMUEL,31,10,h,NO
1 SAMUEL,31,13,n,NO
1 THESSALONIANS,1,1,c,NO
1 THESSALONIANS,1,3,h,NO
1 THESSALONIANS,1,3,i,NO
1 THESSALONIANS,1,5,n,NO
1 THESSALONIANS,1,5,o,NO
1 THESSALONIANS,1,6,r,NO
1 THESSALONIANS,1,6,s,NO
1 THESSALONIANS,1,6,t,NO
1 THESSALONIANS,1,9,y,NO
1 THESSALONIANS,1,9,z,NO
1 THESSALONIANS,1,10,d,NO
1 THESSALONIANS,1,10,e,NO
1 THESSALONIANS,2,2,j,NO
1 THESSALONIANS,2,2,k,NO
1 THESSALONIANS,2,3,n,NO
1 THESSALONIANS,2,3,o,NO
1 THESSALONIANS,2,4,r,NO
1 THESSALONIANS,2,6,w,NO
1 THESSALONIANS,2,6,x,NO
1 THESSALONIANS,2,12,i,NO
1 THESSALONIANS,2,13,l,NO
1 THESSALONIANS,2,13,m,NO
1 THESSALONIANS,2,14,p,NO
1 THESSALONIANS,2,14,q,NO
1 THESSALONIANS,2,16,w,NO
1 THESSALONIANS,3,5,k,NO
1 THESSALONIANS,3,5,l,NO
1 THESSALONIANS,3,6,o,NO
1 THESSALONIANS,3,10,v,NO
1 THESSALONIANS,3,13,b,NO
1 THESSALONIANS,3,13,c,NO
1 THESSALONIANS,4,1,f,NO
1 THESSALONIANS,4,1,g,NO
1 THESSALONIANS,4,5,o,NO
1 THESSALONIANS,4,9,x,NO
1 THESSALONIANS,4,9,y,NO
1 THESSALONIANS,4,11,d,NO
1 THESSALONIANS,4,15,m,NO
1 THESSALONIANS,4,16,p,NO
1 THESSALONIANS,4,16,q,NO
1 THESSALONIANS,4,16,r,NO
1 THESSALONIANS,4,16,s,NO
1 THESSALONIANS,4,17,v,NO
1 THESSALONIANS,5,6,f,NO
1 THESSALONIANS,5,14,r,NO
1 THESSALONIANS,5,14,s,NO
1 THESSALONIANS,5,16,v,NO
1 THESSALONIANS,5,23,d,NO
1 THESSALONIANS,5,23,e,NO
1 THESSALONIANS,5,23,f,NO
1 TIMOTHY,1,1,c,NO
1 TIMOTHY,1,4,k,NO
1 TIMOTHY,1,5,n,NO
1 TIMOTHY,1,11,w,NO
1 TIMOTHY,1,13,b,NO
1 TIMOTHY,1,15,g,NO
1 TIMOTHY,1,17,j,NO
1 TIMOTHY,1,17,k,NO
1 TIMOTHY,1,17,l,NO
1 TIMOTHY,1,18,o,NO
1 TIMOTHY,1,20,t,NO
1 TIMOTHY,1,20,u,NO
1 TIMOTHY,2,4,b,NO
1 TIMOTHY,2,6,f,NO
1 TIMOTHY,2,7,i,NO
1 TIMOTHY,2,8,l,NO
1 TIMOTHY,3,2,a,NO
1 TIMOTHY,3,2,z,NO
1 TIMOTHY,3,8,k,NO
1 TIMOTHY,3,16,u,NO
1 TIMOTHY,3,16,v,NO
1 TIMOTHY,3,16,w,NO
1 TIMOTHY,4,3,d,NO
1 TIMOTHY,4,4,e,NO
1 TIMOTHY,4,8,o,NO
1 TIMOTHY,4,14,w,NO
1 TIMOTHY,4,16,a,NO
1 TIMOTHY,5,10,p,NO
1 TIMOTHY,5,10,q,NO
1 TIMOTHY,5,14,w,NO
1 TIMOTHY,5,22,k,NO
1 TIMOTHY,6,3,u,NO
1 TIMOTHY,6,4,x,NO
1 TIMOTHY,6,4,y,NO
1 TIMOTHY,6,9,h,NO
1 TIMOTHY,6,11,l,NO
1 TIMOTHY,6,12,o,NO
1 TIMOTHY,6,15,v,NO
1 TIMOTHY,6,16,y,NO
1 TIMOTHY,6,16,z,NO
1 TIMOTHY,6,17,c,NO
1 TIMOTHY,6,17,d,NO
1 TIMOTHY,6,17,e,NO
1 TIMOTHY,6,19,j,NO
2 CHRONICLES,1,3,f,NO
2 CHRONICLES,1,5,j,NO
2 CHRONICLES,1,14,w,NO
2 CHRONICLES,2,4,e,NO
2 CHRONICLES,2,4,f,NO
2 CHRONICLES,3,1,y,NO
2 CHRONICLES,4,16,y,NO
2 CHRONICLES,5,12,l,NO
2 CHRONICLES,5,12,n,NO
2 CHRONICLES,6,41,q,NO
2 CHRONICLES,7,1,v,NO
2 CHRONICLES,7,6,z,NO
2 CHRONICLES,8,13,w,NO
2 CHRONICLES,8,14,a,NO
2 CHRONICLES,8,14,b,NO
2 CHRONICLES,8,14,u,NO
2 CHRONICLES,8,14,z,NO
2 CHRONICLES,9,29,a,NO
2 CHRONICLES,9,29,b,NO
2 CHRONICLES,9,29,y,NO
2 CHRONICLES,9,29,z,NO
2 CHRONICLES,12,1,b,NO
2 CHRONICLES,12,15,v,NO
2 CHRONICLES,12,15,w,NO
2 CHRONICLES,12,15,x,NO
2 CHRONICLES,13,9,n,NO
2 CHRONICLES,13,11,q,NO
2 CHRONICLES,13,11,s,NO
2 CHRONICLES,14,3,j,NO
2 CHRONICLES,14,11,u,NO
2 CHRONICLES,15,2,b,NO
2 CHRONICLES,15,8,j,NO
2 CHRONICLES,15,8,k,NO
2 CHRONICLES,15,16,t,NO
2 CHRONICLES,16,1,x,NO
2 CHRONICLES,16,7,b,NO
2 CHRONICLES,16,8,e,NO
2 CHRONICLES,16,9,h,NO
2 CHRONICLES,16,9,i,NO
2 CHRONICLES,19,2,p,NO
2 CHRONICLES,19,2,r,NO
2 CHRONICLES,19,3,u,NO
2 CHRONICLES,20,6,p,NO
2 CHRONICLES,20,10,x,NO
2 CHRONICLES,20,10,y,NO
2 CHRONICLES,20,17,h,NO
2 CHRONICLES,21,13,q,NO
2 CHRONICLES,21,13,r,NO
2 CHRONICLES,21,20,a,NO
2 CHRONICLES,22,9,k,NO
2 CHRONICLES,23,18,y,NO
2 CHRONICLES,23,18,z,NO
2 CHRONICLES,24,20,u,NO
2 CHRONICLES,24,25,f,NO
2 CHRONICLES,25,5,n,NO
2 CHRONICLES,26,9,n,NO
2 CHRONICLES,28,3,k,NO
2 CHRONICLES,28,3,l,NO
2 CHRONICLES,28,15,t,NO
2 CHRONICLES,28,18,x,NO
2 CHRONICLES,29,8,r,NO
2 CHRONICLES,29,15,e,NO
2 CHRONICLES,29,25,o,NO
2 CHRONICLES,29,25,p,NO
2 CHRONICLES,30,9,l,NO
2 CHRONICLES,30,10,o,NO
2 CHRONICLES,30,15,w,NO
2 CHRONICLES,30,27,m,NO
2 CHRONICLES,31,1,p,NO
2 CHRONICLES,32,7,p,NO
2 CHRONICLES,32,25,y,NO
2 CHRONICLES,32,31,f,NO
2 CHRONICLES,33,6,r,NO
2 CHRONICLES,33,6,s,NO
2 CHRONICLES,33,14,c,NO
2 CHRONICLES,33,18,h,NO
2 CHRONICLES,33,19,x,NO
2 CHRONICLES,34,8,u,NO
2 CHRONICLES,35,4,m,NO
2 CHRONICLES,35,11,w,NO
2 CHRONICLES,35,15,b,NO
2 CHRONICLES,36,6,r,NO
2 CHRONICLES,36,10,x,NO
2 CHRONICLES,36,16,f,NO
2 CHRONICLES,36,22,p,NO
2 CORINTHIANS,1,1,c,NO
2 CORINTHIANS,1,1,d,NO
2 CORINTHIANS,1,3,h,NO
2 CORINTHIANS,1,9,p,NO
2 CORINTHIANS,1,12,w,NO
2 CORINTHIANS,1,14,a,NO
2 CORINTHIANS,1,14,z,NO
2 CORINTHIANS,1,15,d,NO
2 CORINTHIANS,1,19,k,NO
2 CORINTHIANS,2,5,a,NO
2 CORINTHIANS,2,14,l,NO
2 CORINTHIANS,3,1,s,NO
2 CORINTHIANS,3,3,w,NO
2 CORINTHIANS,3,6,d,NO
2 CORINTHIANS,3,6,e,NO
2 CORINTHIANS,3,14,n,NO
2 CORINTHIANS,3,14,o,NO
2 CORINTHIANS,3,18,w,NO
2 CORINTHIANS,4,2,b,NO
2 CORINTHIANS,4,2,c,NO
2 CORINTHIANS,4,3,f,NO
2 CORINTHIANS,4,4,h,NO
2 CORINTHIANS,4,4,i,NO
2 CORINTHIANS,4,4,j,NO
2 CORINTHIANS,4,6,o,NO
2 CORINTHIANS,4,14,b,NO
2 CORINTHIANS,4,15,e,NO
2 CORINTHIANS,4,16,h,NO
2 CORINTHIANS,5,1,m,NO
2 CORINTHIANS,5,21,s,NO
2 CORINTHIANS,6,1,v,NO
2 CORINTHIANS,6,4,c,NO
2 CORINTHIANS,6,4,d,NO
2 CORINTHIANS,6,6,i,NO
2 CORINTHIANS,6,6,j,NO
2 CORINTHIANS,6,7,m,NO
2 CORINTHIANS,6,9,q,NO
2 CORINTHIANS,6,10,u,NO
2 CORINTHIANS,6,14,b,NO
2 CORINTHIANS,6,16,f,NO
2 CORINTHIANS,6,16,g,NO
2 CORINTHIANS,7,4,p,NO
2 CORINTHIANS,8,10,v,NO
2 CORINTHIANS,8,19,g,NO
2 CORINTHIANS,9,5,u,NO
2 CORINTHIANS,10,4,o,NO
2 CORINTHIANS,10,4,p,NO
2 CORINTHIANS,10,7,w,NO
2 CORINTHIANS,10,7,x,NO
2 CORINTHIANS,10,12,d,NO
2 CORINTHIANS,10,13,g,NO
2 CORINTHIANS,11,2,p,NO
2 CORINTHIANS,11,3,s,NO
2 CORINTHIANS,11,3,t,NO
2 CORINTHIANS,11,6,z,NO
2 CORINTHIANS,11,9,e,NO
2 CORINTHIANS,11,9,f,NO
2 CORINTHIANS,11,13,n,NO
2 CORINTHIANS,11,20,y,NO
2 CORINTHIANS,11,23,d,NO
2 CORINTHIANS,11,23,f,NO
2 CORINTHIANS,11,25,j,NO
2 CORINTHIANS,11,31,u,NO
2 CORINTHIANS,12,2,a,NO
2 CORINTHIANS,12,2,b,NO
2 CORINTHIANS,12,7,h,NO
2 CORINTHIANS,12,9,l,NO
2 CORINTHIANS,12,10,o,NO
2 CORINTHIANS,12,11,r,NO
2 CORINTHIANS,12,14,x,NO
2 CORINTHIANS,12,14,y,NO
2 CORINTHIANS,13,2,o,NO
2 CORINTHIANS,13,4,t,NO
2 CORINTHIANS,13,4,u,NO
2 CORINTHIANS,13,10,b,NO
2 CORINTHIANS,13,11,e,NO
2 CORINTHIANS,13,14,k,NO
2 KINGS,2,1,o,NO
2 KINGS,2,4,q,NO
2 KINGS,3,11,r,NO
2 KINGS,3,13,o,NO
2 KINGS,3,13,u,NO
2 KINGS,4,16,m,NO
2 KINGS,4,29,v,NO
2 KINGS,4,38,e,NO
2 KINGS,4,38,f,NO
2 KINGS,4,38,g,NO
2 KINGS,4,42,k,NO
2 KINGS,5,7,s,NO
2 KINGS,8,1,s,NO
2 KINGS,8,8,y,NO
2 KINGS,8,29,b,NO
2 KINGS,9,1,e,NO
2 KINGS,9,1,f,NO
2 KINGS,9,21,b,NO
2 KINGS,9,25,e,NO
2 KINGS,9,25,f,NO
2 KINGS,10,15,z,NO
2 KINGS,10,20,g,NO
2 KINGS,11,4,z,NO
2 KINGS,11,14,j,NO
2 KINGS,12,16,c,NO
2 KINGS,12,20,j,NO
2 KINGS,13,3,p,NO
2 KINGS,13,12,y,NO
2 KINGS,13,23,h,NO
2 KINGS,14,1,m,NO
2 KINGS,14,7,u,NO
2 KINGS,14,7,v,NO
2 KINGS,14,25,n,NO
2 KINGS,14,25,o,NO
2 KINGS,14,25,p,NO
2 KINGS,15,29,p,NO
2 KINGS,15,29,q,NO
2 KINGS,15,29,r,NO
2 KINGS,16,9,l,NO
2 KINGS,16,14,r,NO
2 KINGS,17,6,d,NO
2 KINGS,17,6,e,NO
2 KINGS,17,13,n,NO
2 KINGS,17,13,o,NO
2 KINGS,17,15,s,NO
2 KINGS,17,15,t,NO
2 KINGS,17,16,w,NO
2 KINGS,17,16,x,NO
2 KINGS,17,17,b,NO
2 KINGS,17,21,h,NO
2 KINGS,17,24,m,NO
2 KINGS,17,24,n,NO
2 KINGS,17,24,o,NO
2 KINGS,17,31,u,NO
2 KINGS,17,32,x,NO
2 KINGS,17,36,d,NO
2 KINGS,18,4,o,NO
2 KINGS,18,4,p,NO
2 KINGS,18,26,i,NO
2 KINGS,18,34,p,NO
2 KINGS,18,34,q,NO
2 KINGS,19,1,v,NO
2 KINGS,19,4,y,NO
2 KINGS,19,12,k,NO
2 KINGS,19,16,s,NO
2 KINGS,19,22,a,NO
2 KINGS,19,23,d,NO
2 KINGS,19,23,e,NO
2 KINGS,20,1,z,NO
2 KINGS,20,3,c,NO
2 KINGS,20,5,g,NO
2 KINGS,20,12,n,NO
2 KINGS,20,20,v,NO
2 KINGS,21,3,b,NO
2 KINGS,21,3,c,NO
2 KINGS,21,6,i,NO
2 KINGS,21,6,j,NO
2 KINGS,21,11,n,NO
2 KINGS,21,11,o,NO
2 KINGS,22,4,f,NO
2 KINGS,22,19,s,NO
2 KINGS,22,19,t,NO
2 KINGS,22,19,u,NO
2 KINGS,23,3,b,NO
2 KINGS,23,4,e,NO
2 KINGS,23,6,j,NO
2 KINGS,23,6,k,NO
2 KINGS,23,10,s,NO
2 KINGS,23,12,v,NO
2 KINGS,23,13,y,NO
2 KINGS,23,15,d,NO
2 KINGS,23,24,p,NO
2 KINGS,23,24,q,NO
2 KINGS,23,24,r,NO
2 KINGS,23,29,y,NO
2 KINGS,23,30,a,NO
2 KINGS,23,33,f,NO
2 KINGS,23,34,h,NO
